,word,stop
0,At,0
1,least,0
2,crew,0
3,members,0
4,confined,0
5,on,0
6,Norwegian,0
7,cruise,0
8,ship,0
9,have,0
10,tested,0
11,positive,0
12,for,0
13,the,0
14,coronavirus,1
15,the,0
16,company,0
17,Hurtigruten,0
18,said,0
19,on,0
20,Saturday,1
21,Arriving,0
22,at,0
23,the,0
24,northern,0
25,Norwegian,0
26,port,0
27,Tromso,0
28,from,0
29,the,0
30,archipelago,0
31,Svalbard,0
32,the,0
33,crew,0
34,the,0
35,MS,0
36,Roald,0
37,Amundsen,0
38,was,0
39,quarantined,0
40,onboard,0
41,the,0
42,ship,0
43,on,0
44,Friday,0
45,after,0
46,four,0
47,staff,0
48,members,0
49,tested,0
50,positive,0
51,for,0
52,the,0
53,virus,1
54,were,-1
55,AFP,-1
56,reports,-1
57,Of,0
58,the,0
59,crew,0
60,members,0
61,onboard,0
62,tested,0
63,positive,0
64,for,0
65,while,0
66,tested,0
67,negative,1
68,Hurtigruten,0
69,said,0
70,Five,0
71,people,0
72,will,0
73,be,0
74,retested,1
75,The,0
76,company,0
77,said,0
78,that,0
79,four,0
80,crew,0
81,members,0
82,were,0
83,isolated,0
84,several,0
85,days,0
86,ago,0
87,because,0
88,other,0
89,disease,0
90,symptoms,0
91,with,0
92,no,0
93,symptoms,1
94,There,0
95,was,0
96,no,0
97,reason,0
98,suspect,0
99,when,0
100,the,0
101,ship,0
102,docked,0
103,in,0
104,Tromso,0
105,based,0
106,on,0
107,the,0
108,symptoms,0
109,they,0
110,were,0
111,showing,1
112,Hurtigruten,-1
113,said,-1
114,According,0
115,the,0
116,hospital,0
117,the,0
118,four,0
119,crew,0
120,members,0
121,are,0
122,foreign,0
123,nationals,1
124,The,0
125,ship,0
126,had,0
127,nearly,0
128,passengers,0
129,onboard,0
130,since,0
131,departing,0
132,on,0
133,July,1
134,None,0
135,the,0
136,passengers,0
137,reported,0
138,symptoms,0
139,related,0
140,coronavirus,0
141,during,0
142,the,0
143,voyage,0
144,Hurtigruten,0
145,said,1
146,All,0
147,passengers,0
148,disembarked,0
149,the,0
150,ship,0
151,on,0
152,Friday,0
153,but,0
154,about,0
155,people,0
156,have,0
157,since,0
158,been,0
159,quarantined,0
160,in,0
161,Tromso,1
162,The,0
163,Norwegian,0
164,Institute,0
165,Public,0
166,Health,0
167,has,0
168,not,0
169,ruled,0
170,out,0
171,the,0
172,possibility,0
173,more,0
174,cases,0
175,emerging,0
176,but,0
177,added,0
178,more,0
179,answers,0
180,would,0
181,be,0
182,provided,0
183,once,0
184,the,0
185,tests,0
186,have,0
187,been,0
188,carried,0
189,out,0
190,It,0
191,recommended,0
192,all,0
193,passengers,0
194,remained,0
195,quarantined,0
196,while,0
197,awaiting,0
198,their,0
199,results,1
200,On,0
201,Friday,0
202,Norway,0
203,had,0
204,confirmed,0
205,cases,0
206,coronavirus,1
207,One,0
208,person,0
209,died,0
210,the,0
211,virus,0
212,on,0
213,Friday,0
214,night,0
215,bringing,0
216,the,0
217,country,0
218,s,-1
219,total,0
220,death,0
221,toll,1
222,It,0
223,was,0
224,the,0
225,first,0
226,death,0
227,in,0
228,the,0
229,Nordic,0
230,country,0
231,in,0
232,two,0
233,weeks,1
